year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1963,Delta,na,Chen Chia Kuang,UPP,2233,0.1671
1963,Delta,na,Wee Toon Lip,BS,5354,0.4007
1963,Delta,na,Wong Kui Yu,Independent,359,0.0269
1963,Farrer Park,na,Lee Chin Siang,BS,2619,0.272
1963,Farrer Park,na,A. P. Rajah,SA,1232,0.1279
1963,Farrer Park,na,S. Rajoo,PAP,5365,0.5571
1963,Farrer Park,na,Wee Kia Eng,UPP,414,0.043
1963,Geylang East,na,Ho Cheng Choon,PAP,7165,0.4728
1963,Geylang East,na,Ng Cheng Chwee,SA,1467,0.0968
1963,Geylang East,na,Phua Soon Lian,BS,5389,0.3556
1963,Geylang East,na,Tan Peng Seah,UPP,1134,0.0748
1963,Geylang Serai,na,Ahmad b. Hj. Taff,SA,5019,0.3585
1963,Geylang Serai,na,Darus Shariff,Independent,1059,0.0756
1963,Geylang Serai,na,M. Taha Suhaimi,PMIP,1201,0.0858
1963,Geylang Serai,na,Rahamat b Kenap,PAP,6722,0.4801
1963,Geylang West,na,Kum Teng Hock,UPP,1541,0.1069
1963,Geylang West,na,Mohd. B. Hj. Yacob,SA,914,0.0634
1963,Geylang West,na,Un Hon Kun,BS,5670,0.3934
1963,Geylang West,na,Yong Nyuk Lin,PAP,6288,0.4363
1963,Havelock,na,Lim Ser Puan,SA,641,0.0448
1963,Havelock,na,Loh Miaw Gong,BS,6304,0.4405
1963,Havelock,na,Ng Chee Sen,UPP,3209,0.2242
1963,Havelock,na,Wong Chun Choi,PAP,4157,0.2905
1963,Hong Lim,na,Lim Chien Sen,BS,2344,0.2058
1963,Hong Lim,na,Ong Eng Guan,UPP,5066,0.4447
1963,Hong Lim,na,Sam Tai Guan,SA,191,0.0168
1963,Hong Lim,na,Seah Mui Kok,PAP,3789,0.3327
1963,Jalan Besar,na,Chan Chee Seng,PAP,6686,0.5187
1963,Jalan Besar,na,Ng Ngeong Yew,BS,5172,0.4012
1963,Jalan Besar,na,Yong Wan Kit,UPP,1033,0.0801
1963,Jalan Kayu,na,Lui Boon Phor,UPP,1146,0.1316
1963,Jalan Kayu,na,M. P. D. Nair,SA,1057,0.1214
1963,Jalan Kayu,na,Ong Yu Thoh,Independent,516,0.0593
1963,Jalan Kayu,na,Tan Cheng Tong,BS,3312,0.3804
1963,Jalan Kayu,na,Teo Hup Teck,PAP,2676,0.3073
1963,Joo Chiat,na,Dr. Fong Kim Heng,PAP,9300,0.6588
1963,Joo Chiat,na,Leong Keng Seng,BS,3737,0.2648
1963,Joo Chiat,na,Mrs Seow Peck Leng,SA,1078,0.0764
1963,Jurong,na,Chia Thye Poh,BS,3973,0.5585
1963,Jurong,na,Ong Soo Chuan,PAP,2268,0.3189
1963,Jurong,na,Soh U Loh,UPP,501,0.0704
1963,Jurong,na,Wong Tuck Leong,SA,371,0.0522
1963,Kallang,na,Buang b. Omar Junid,PAP,8479,0.5221
1963,Kallang,na,Mohd. Shariff B. D.,UPP,1166,0.0718
1963,Kallang,na,Dr. P. Oorjitham,BS,5215,0.3211
1963,Kallang,na,Tan Hai Tong,Independent,411,0.0253
1963,Kallang,na,Tan Hock Lim,SA,969,0.0597
1963,Kampong Glam,na,Harbans Singh,UPP,1224,0.1271
1963,Kampong Glam,na,Rajaratnam S.,PAP,4313,0.4479
1963,Kampong Glam,na,Tan Jing Quee,BS,4093,0.425
1963,Kampong Kapor,na,Chia Ban Wei,SA,1006,0.0927
1963,Kampong Kapor,na,Lim Hock Thiam,BS,4155,0.3827
1963,Kampong Kapor,na,M. Awang,PAP,4554,0.4193
1963,Kampong Kapor,na,Nalliah Karuppiah,UPP,1143,0.1053
1963,Kampong Kembangan,na,Ali Alwi,SA,3692,0.2503
1963,Kampong Kembangan,na,Ariff B. Suradi Mohamed,PAP,7127,0.4831
1963,Kampong Kembangan,na,Ibrahim B. Jaffar,UPP,914,0.062
1963,Kampong Kembangan,na,Mohd. Dali B. Muin,PMIP,344,0.0233
1963,Kampong Kembangan,na,Saleha Binte Md. Shah,PRSSD,2674,0.1813
1963,Kreta Ayer,na,Goh Keng Swee,PAP,8059,0.6547
1963,Kreta Ayer,na,Lau Peter,BS,3646,0.2962
1963,Kreta Ayer,na,Loke Wan,UPP,604,0.0491
1963,Moulmein,na,Mrs. Devan Nair,PAP,5856,0.58
1963,Moulmein,na,Koh Chiat Lim,SA,542,0.0537
1963,Moulmein,na,Neo Hay Chan,UPP,575,0.0569
1963,Moulmein,na,Soo Tho Siu Hee,Independent,73,0.0072
1963,Moulmein,na,Tann Wee Tiong,BS,3051,0.3022
1963,Mountbatten,na,Fung Yin Ching,BS,5158,0.3259
1963,Mountbatten,na,Lee Kim Chuan,SA,1865,0.1178
1963,Mountbatten,na,Ng Yeow Chong,PAP,7751,0.4897
1963,Mountbatten,na,Mrs. Leon-Soh,Independent,1053,0.0666
1963,Nee Soon,na,Chan Sun Wing,BS,4914,0.5133
1963,Nee Soon,na,Goh Soo Ming,UPP,864,0.0902
1963,Nee Soon,na,How Kang Yong,PAP,3329,0.3477
1963,Nee Soon,na,Lim Siak Guan,Independent,103,0.0108
1963,Nee Soon,na,Yeo Teo Bok,SA,364,0.038
1963,Pasir Panjang,na,Ahmad b.Rahmat,SA,1351,0.2126
1963,Pasir Panjang,na,Othman b. Wok,PAP,2879,0.453
1963,Pasir Panjang,na,Tay Cheng Kang,BS,1887,0.2969
1963,Pasir Panjang,na,Yong Ah Kau,UPP,238,0.0375
1963,Paya Lebar,na,Goh Yeow Dek,SA,415,0.0324
1963,Paya Lebar,na,Kow Kee Seng,BS,6152,0.4796
1963,Paya Lebar,na,Tan Kia Gan,PAP,5402,0.4211
1963,Paya Lebar,na,Yeo Keng Wee,UPP,858,0.0669
1963,Punggol,na,Koh Chit Kiang,BS,2860,0.2893
1963,Punggol,na,Lee Jiak Seck,UPP,984,0.0996
1963,Punggol,na,Ng Kah Ting,PAP,4721,0.4776
1963,Punggol,na,Tan Jin Hong,SA,1320,0.1335
1963,Queenstown,na,Jek Yuen Thong,PAP,8165,0.5281
1963,Queenstown,na,Lee Ek Chong,BS,5589,0.3615
